Right,Wrong,No answer,Year,Model,CN_true,CN_false,CN_no_answer,CH_true,CH_false,CH_no_answer,LC_true,LC_false,LC_no_answer,MT_true,MT_false,MT_no_answer,Perc_Right,Temperature
133,51,1.0,2011,GEMINI,32,13,0,41,3,1,45,5,0,15,30,0,71.89,0.9
130,55,0.0,2011,GEMINI,34,11,0,40,5,0,43,7,0,13,32,0,70.27,0.0
108,77,0.0,2011,GPT,29,16,0,33,12,0,36,14,0,10,35,0,58.38,1.0
114,71,0.0,2011,GPT,29,16,0,38,7,0,38,12,0,9,36,0,61.62,0.0
94,91,0.0,2011,Llama2,22,23,0,26,19,0,38,12,0,8,37,0,50.81,1.0
99,86,0.0,2011,Llama2,25,20,0,27,18,0,38,12,0,9,36,0,53.51,0.0
131,52,2.0,2012,GEMINI,37,8,0,32,11,2,42,8,0,20,25,0,70.81,0.9
125,58,2.0,2012,GEMINI,32,12,1,34,11,0,44,6,0,15,29,1,67.57,0.0
110,75,0.0,2012,GPT,25,20,0,31,14,0,36,14,0,18,27,0,59.46,1.0
109,76,0.0,2012,GPT,24,21,0,31,14,0,41,9,0,13,32,0,58.92,0.0
96,89,0.0,2012,Llama2,25,20,0,25,20,0,34,16,0,12,33,0,51.89,1.0
97,88,0.0,2012,Llama2,24,21,0,26,19,0,36,14,0,11,34,0,52.43,0.0
127,55,3.0,2013,GEMINI,33,11,1,41,4,0,40,8,2,13,32,0,68.65,0.9
130,55,0.0,2013,GEMINI,34,11,0,41,4,0,41,9,0,14,31,0,70.27,0.0
107,78,0.0,2013,GPT,26,19,0,33,12,0,35,15,0,13,32,0,57.84,1.0
109,76,0.0,2013,GPT,27,18,0,32,13,0,35,15,0,15,30,0,58.92,0.0
97,88,0.0,2013,Llama2,23,22,0,31,14,0,33,17,0,10,35,0,52.43,1.0
94,91,0.0,2013,Llama2,22,23,0,29,16,0,33,17,0,10,35,0,50.81,0.0
127,54,4.0,2015,GEMINI,33,12,0,37,6,2,42,6,2,15,30,0,68.65,0.9
130,53,2.0,2015,GEMINI,33,12,0,40,5,0,43,5,2,14,31,0,70.27,0.0
110,75,0.0,2015,GPT,26,19,0,36,9,0,40,10,0,8,37,0,59.46,1.0
115,70,0.0,2015,GPT,24,21,0,39,6,0,42,8,0,10,35,0,62.16,0.0
109,76,0.0,2015,Llama2,24,21,0,35,10,0,35,15,0,15,30,0,58.92,1.0
109,76,0.0,2015,Llama2,24,21,0,35,10,0,35,15,0,15,30,0,58.92,0.0
130,53,2.0,2016,GEMINI,34,10,1,42,2,1,42,8,0,12,33,0,70.27,0.9
126,57,2.0,2016,GEMINI,33,11,1,42,2,1,41,9,0,10,35,0,68.11,0.0
106,79,0.0,2016,GPT,20,25,0,41,4,0,34,16,0,11,34,0,57.3,1.0
114,71,0.0,2016,GPT,26,19,0,41,4,0,36,14,0,11,34,0,61.62,0.0
89,96,0.0,2016,Llama2,22,23,0,31,14,0,26,24,0,10,35,0,48.11,1.0
89,96,0.0,2016,Llama2,22,23,0,31,14,0,26,24,0,10,35,0,48.11,0.0
126,57,2.0,2017,GEMINI,33,12,0,41,3,1,40,9,1,12,33,0,68.11,0.9
136,49,0.0,2017,GEMINI,31,14,0,44,1,0,43,7,0,18,27,0,73.51,0.0
106,79,0.0,2017,GPT,27,18,0,38,7,0,31,19,0,10,35,0,57.3,1.0
111,74,0.0,2017,GPT,31,14,0,37,8,0,30,20,0,13,32,0,60.0,0.0
89,96,0.0,2017,Llama2,17,28,0,37,8,0,26,24,0,9,36,0,48.11,1.0
89,96,0.0,2017,Llama2,17,28,0,37,8,0,26,24,0,9,36,0,48.11,0.0
120,61,3.0,2018,GEMINI,30,15,0,39,5,1,36,12,2,15,29,0,65.22,0.9
123,60,1.0,2018,GEMINI,32,13,0,40,4,1,38,12,0,13,31,0,66.85,0.0
96,88,0.0,2018,GPT,22,23,0,36,9,0,30,20,0,8,36,0,52.17,1.0
100,84,0.0,2018,GPT,23,22,0,37,8,0,32,18,0,8,36,0,54.35,0.0
85,99,0.0,2018,Llama2,18,27,0,32,13,0,31,19,0,4,40,0,46.2,1.0
90,94,0.0,2018,Llama2,18,27,0,35,10,0,32,18,0,5,39,0,48.91,0.0
125,59,1.0,2019,GEMINI,26,19,0,39,6,0,41,8,1,19,26,0,67.57,0.9
124,60,1.0,2019,GEMINI,29,16,0,40,5,0,42,7,1,13,32,0,67.03,0.0
107,78,0.0,2019,GPT,27,18,0,35,10,0,35,15,0,10,35,0,57.84,1.0
109,76,0.0,2019,GPT,28,17,0,33,12,0,37,13,0,11,34,0,58.92,0.0
82,103,0.0,2019,Llama2,20,25,0,32,13,0,26,24,0,4,41,0,44.32,1.0
87,98,0.0,2019,Llama2,22,23,0,31,14,0,26,24,0,8,37,0,47.03,0.0
128,54,1.0,2020,GEMINI,29,14,1,39,6,0,43,7,0,17,27,0,69.95,0.9
128,53,2.0,2020,GEMINI,28,14,2,41,4,0,43,7,0,16,28,0,69.95,0.0
93,90,0.0,2020,GPT,18,26,0,32,13,0,36,14,0,7,37,0,50.82,1.0
107,76,0.0,2020,GPT,23,21,0,33,12,0,40,10,0,11,33,0,58.47,0.0
101,82,0.0,2020,Llama2,22,22,0,31,14,0,30,20,0,18,26,0,55.19,1.0
98,85,0.0,2020,Llama2,25,19,0,33,12,0,24,26,0,16,28,0,53.55,0.0
116,64,4.0,2022,GEMINI,28,16,1,39,6,0,37,10,3,12,32,0,63.04,0.9
121,61,2.0,2022,GEMINI,29,16,0,40,5,0,37,11,2,15,29,0,65.76,0.0
114,70,0.0,2022,GPT,27,18,0,38,7,0,35,15,0,14,30,0,61.96,1.0
110,74,0.0,2022,GPT,23,22,0,38,7,0,36,14,0,13,31,0,59.78,0.0
94,90,0.0,2022,Llama2,20,25,0,30,15,0,32,18,0,12,32,0,51.09,1.0
97,87,0.0,2022,Llama2,20,25,0,32,13,0,33,17,0,12,32,0,52.72,0.0
132,52,0.0,2023,GEMINI,31,14,0,43,2,0,43,7,0,15,29,0,71.74,0.9
134,48,2.0,2023,GEMINI,31,14,0,45,0,0,43,6,1,15,28,1,72.83,0.0
110,74,0.0,2023,GPT,23,22,0,34,11,0,40,10,0,13,31,0,59.78,1.0
116,68,0.0,2023,GPT,23,22,0,39,6,0,39,11,0,15,29,0,63.04,0.0
90,94,0.0,2023,Llama2,17,28,0,30,15,0,35,15,0,8,36,0,48.91,1.0
99,85,0.0,2023,Llama2,18,27,0,32,13,0,37,13,0,12,32,0,53.8,0.0
